protocol,topology,num_replicas,set_size,payload_size,digest_bits,divergence,pattern,seed,round_cap,rounds,converged,target_union_size,total_state_bytes_sent,total_state_bytes_received,total_metadata_bytes_sent,total_metadata_bytes_received,total_encode_time_ns,total_decode_time_ns,total_elements_added
Riblt,Tree,8,10000,32,64,0.001,Uniform,5,20,5,true,10070,0,0,16320,16320,2743328444,13180695,560
Riblt,Tree,8,10000,32,64,0.001,Uniform,6,20,5,true,10070,0,0,14672,14672,2660098607,12948295,560
Riblt,Tree,8,10000,32,64,0.001,Uniform,7,20,5,true,10070,0,0,13680,13680,2644621873,12939500,560
Riblt,Tree,8,10000,32,64,0.001,Uniform,8,20,5,true,10070,0,0,14336,14336,2637831987,12868534,560
Riblt,Tree,8,10000,32,64,0.001,Uniform,9,20,5,true,10070,0,0,13648,13648,2587444246,12898625,560
Riblt,Tree,8,10000,32,64,0.01,Uniform,0,20,5,true,10691,0,0,125456,125456,4792379092,143510696,5528
Riblt,Tree,8,10000,32,64,0.01,Uniform,1,20,5,true,10691,0,0,124208,124208,4766578686,143169354,5528
Riblt,Tree,8,10000,32,64,0.01,Uniform,2,20,5,true,10689,0,0,125664,125664,4790621190,142511184,5512
Riblt,Tree,8,10000,32,64,0.01,Uniform,3,20,5,true,10690,0,0,124992,124992,4758005063,142555357,5520
Riblt,Tree,8,10000,32,64,0.01,Uniform,4,20,5,true,10687,0,0,123792,123792,4748506553,141617218,5496
Riblt,Tree,8,10000,32,64,0.01,Uniform,5,20,5,true,10687,0,0,124944,124944,4792310214,142305119,5496
Riblt,Tree,8,10000,32,64,0.01,Uniform,6,20,5,true,10691,0,0,122912,122912,4742258231,141729230,5528
Riblt,Tree,8,10000,32,64,0.01,Uniform,7,20,5,true,10686,0,0,126576,126576,4694611067,140402117,5488
Riblt,Tree,8,10000,32,64,0.01,Uniform,8,20,5,true,10688,0,0,123056,123056,4696676862,139089048,5504
Riblt,Tree,8,10000,32,64,0.01,Uniform,9,20,5,true,10691,0,0,120288,120288,4668509594,139570649,5528
Riblt,Tree,8,10000,32,64,0.05,Uniform,0,20,5,true,13283,0,0,580416,580416,7139490827,791775631,26264
Riblt,Tree,8,10000,32,64,0.05,Uniform,1,20,5,true,13278,0,0,578640,578640,6880571449,769671365,26224
Riblt,Tree,8,10000,32,64,0.05,Uniform,2,20,5,true,13250,0,0,580016,580016,6876417787,767028308,26000
